text-en,intent-en,text-fr,intent-fr
what do i do to have my paycheck deposited directly in my account,direct_deposit,que dois-je faire pour que mon chèque de paie soit déposé directement dans mon compte,dépôt_direct
how do i get direct deposit set up,direct_deposit,comment puis-je configurer le dépôt direct,dépôt_direct
make it so my paycheck goes directly into my savings account,direct_deposit,faites en sorte que mon chèque de paie aille directement dans mon compte d’épargne,dépôt_direct
"i want to set up direct deposit for my paycheck, what do i need to do",direct_deposit,"Je veux mettre en place le dépôt direct pour mon chèque de paie, que dois-je faire",dépôt_direct
what is needed for setting up direct deposit,direct_deposit,ce qui est nécessaire pour mettre en place le dépôt direct,dépôt_direct
set up a direct deposit,direct_deposit,mettre en place un dépôt direct,dépôt_direct
tell me how to set up a direct deposit,direct_deposit,dites-moi comment mettre en place un dépôt direct,dépôt_direct
how do i set up direct deposit for my paycheck,direct_deposit,comment puis-je configurer le dépôt direct pour mon chèque de paie,dépôt_direct
i need some guidance when it comes to direct deposit,direct_deposit,J’ai besoin de conseils en ce qui concerne le dépôt direct,dépôt_direct
how do i set up instant paycheck,direct_deposit,comment puis-je configurer un chèque de paie instantané,dépôt_direct
i'd really like to set up a direct deposit for my paycheck,direct_deposit,J’aimerais vraiment mettre en place un dépôt direct pour mon chèque de paie,dépôt_direct
how do i set up direct deposit to my chase account,direct_deposit,comment puis-je configurer le dépôt direct sur mon compte chase,dépôt_direct
would you help me set up direct deposit,direct_deposit,pourriez-vous m’aider à mettre en place le dépôt direct,dépôt_direct
how do i arrange a direct deposit into my savings account,direct_deposit,comment puis-je organiser un dépôt direct dans mon compte d’épargne,dépôt_direct
i need to set up a direct deposit for my paycheck,direct_deposit,J’ai besoin de mettre en place un dépôt direct pour mon chèque de paie,dépôt_direct
i need to set up a direct deposit,direct_deposit,J’ai besoin de mettre en place un dépôt direct,dépôt_direct
how do i get my check directly deposited,direct_deposit,comment puis-je obtenir mon chèque directement déposé,dépôt_direct
how can i have my paycheck directly deposited in my account,direct_deposit,comment puis-je avoir mon chèque de paie directement déposé dans mon compte,dépôt_direct
how do i direct deposit my paycheck,direct_deposit,comment puis-je déposer directement mon chèque de paie,dépôt_direct
is there a specific way to set up direct deposit,direct_deposit,existe-t-il une façon précise de mettre en place le dépôt direct?,dépôt_direct
set up direct deposit to my money market account for my pay check,direct_deposit,mettre en place le dépôt direct dans mon compte du marché monétaire pour mon chèque de paie,dépôt_direct
can you tell me how to set up direct depost,direct_deposit,pouvez-vous me dire comment mettre en place le depost direct,dépôt_direct
can you show me how to set up direct deposit for my paycheck to my first hawaiian bank account,direct_deposit,pouvez-vous me montrer comment configurer le dépôt direct pour mon chèque de paie sur mon premier compte bancaire hawaïen,dépôt_direct
how can i set up direct deposits from my job to my bank,direct_deposit,comment puis-je mettre en place des dépôts directs de mon travail à ma banque,dépôt_direct
i have a great western bank account i want direct deposits to go to,direct_deposit,"J’ai un grand compte bancaire occidental, je veux des dépôts directs pour aller à",dépôt_direct
can you show me how to set up direct deposit,direct_deposit,pouvez-vous me montrer comment configurer le dépôt direct,dépôt_direct
do a websearch for direct deposit set up,direct_deposit,faire une recherche web pour la mise en place du dépôt direct,dépôt_direct
what are the steps for setting up direct deposit,direct_deposit,quelles sont les étapes pour mettre en place le dépôt direct,dépôt_direct
what am i allowed to carry on for american airlines,carry_on,qu’est-ce que je suis autorisé à continuer pour les compagnies aériennes américaines,continuer
what are the carry on rules for united,carry_on,quelles sont les règles de portage pour united,continuer
what can't i carry-on to delta,carry_on,qu’est-ce que je ne peux pas continuer à delta,continuer
tell me united's carry on policy,carry_on,dites-moi que la politique de continue de United,continuer
what is the carry on limit,carry_on,quelle est la limite de bagage à perpétuer,continuer
what should i know about the carry on policy for american,carry_on,que dois-je savoir sur la politique de portage pour les Américains,continuer
"if i fly internationally, do brittish airwaiys have carry-on limitations",carry_on,"si je vole à l’étranger, est-ce que les airwaiys britanniques ont des limitations de bagage à sa porte",continuer
what are the rules for carry on luggage for delta,carry_on,quelles sont les règles pour bagages à main pour delta,continuer
can i have 3 carry ons with delta at jfk,carry_on,puis-je avoir 3 carry ons avec delta à jfk,continuer
how many carry ons are allowed on a flight with wow to iceland,carry_on,combien de bagages à bord d’un vol avec wow vers l’Islande,continuer
what are the requirements for carry on on flights with united airlines,carry_on,quelles sont les exigences pour poursuivre des vols avec united airlines,continuer
does delta allow more than one carry on when traveling to miami,carry_on,delta permet-il plus d’un portage lorsque vous voyagez à Miami,continuer
could you list out the carry-on restrictions for american airlines,carry_on,pourriez-vous énumérer les restrictions de bagages à l’avion pour les compagnies aériennes américaines,continuer
do i have to pay for carry-ons on delta,carry_on,dois-je payer pour les bagages à sous delta,continuer
"if i take a flight on pan am to denver, how many carry ons are included",carry_on,"si je prends un vol sur pan am à denver, combien de bagages à emporter sont inclus",continuer
how many bags can i carry-on for flights on singapore airlines,carry_on,combien de bagages puis-je bagager à bord pour les vols sur les compagnies aériennes de Singapour,continuer
how many carry ons can i take on a flight with american airlines to seattle,carry_on,combien de bagages à ma bagages à ma vitesse puis-je prendre un vol avec american airlines à destination de Seattle,continuer
"when taking a flight with porter to toronto, how many carry ons can i take",carry_on,"lorsque je prends un vol avec porter à toronto, combien de bagages à emporter puis-je prendre",continuer
"on a flight with allegiant to orlando, how many carry ons can i take",carry_on,"sur un vol avec allégeance à orlando, combien de bagages à emporter puis-je prendre",continuer
would you let me know the carry-on restrictions for american airlines,carry_on,pourriez-vous me faire part des restrictions de bagage à billets pour les compagnies aériennes américaines,continuer
how many carry ons can i take on a flight with delta to mexico city,carry_on,combien de bagages à ma destination puis-je prendre sur un vol avec delta à Mexico,continuer
what are the carry-on rules,carry_on,quelles sont les règles de bagage à maintenant,continuer
"when taking a flight with lion to singapore, how many carry ons are allowed",carry_on,"lorsque vous prenez un vol avec lion à destination de Singapour, combien de bagages à emporter sont autorisés",continuer
what are the rules regarding carry-on baggage for flights on virgin airlines,carry_on,quelles sont les règles concernant les bagages à main pour les vols sur les compagnies aériennes vierges,continuer
what's restricted in my carry-on with united,carry_on,ce qui est restreint dans mon bagage à dossier avec united,continuer
does jet blue have any carry-on restrictions,carry_on,le bleu jet a-t-il des restrictions de bagage à feu?,continuer
i need to know the carry-on restrictions for united airlines,carry_on,J’ai besoin de connaître les restrictions de bagage à la ligne pour united airlines,continuer
how many carry ons will american let me take for a flight to los vegas,carry_on,combien de bagages à emporter me laissera prendre pour un vol pour los Vegas,continuer
does delta have carry-on restrictions,carry_on,delta a-t-il des restrictions de bagage à feu ?,continuer
how many carry ons can i take on a flight with jet blue to washington dc,carry_on,combien de bagages à ma carte puis-je prendre un vol avec jet blue à washington dc,continuer
what are the carry-on restrictions for singapore airlines,carry_on,quelles sont les restrictions de bagage à la ligne pour les compagnies aériennes de Singapour,continuer
tell me the carry on rules,carry_on,dites-moi les règles de portage,continuer
i am flying jetblue and need to know what the most number of bags are that i can carry on,carry_on,Je vole jetblue et j’ai besoin de savoir quel est le plus grand nombre de sacs que je peux continuer,continuer
am i limited in carry ons for jet blue,carry_on,suis-je limité dans les bagages à emporter pour le bleu jet,continuer
am i allowed carry ons for my flight with westjet to edmonton,carry_on,suis-je autorisé à transporter mes bagages à bord pour mon vol avec westjet à edmonton,continuer
what are the carry-on restrictions for united,carry_on,quelles sont les restrictions de bagage à pied pour united,continuer
does united airlines allow more than one carry on,carry_on,united airlines autorise-t-elle plus d’un bagage à sous ?,continuer
what are the carry-on restrictions for delta,carry_on,quelles sont les restrictions de bagage à feu pour delta,continuer
would you let me know how many carry ons i can take on a flight with southwest airlines to miami,carry_on,voulez-vous me faire savoir combien de bagages à ma donner sur un vol avec les compagnies aériennes du sud-ouest à miami,continuer
is there a carry on weight limit,carry_on,y a-t-il une limite de poids à reporter?,continuer
please find the rules for carry on when flying with spirit airlines,carry_on,s’il vous plaît trouver les règles pour continuer lorsque vous volez avec des compagnies aériennes spiritueuses,continuer
what are the carry-on restrictions for southwest airlines,carry_on,quelles sont les restrictions de bagage à passagers pour les compagnies aériennes du sud-ouest,continuer
how my carry ons does spirit airlines allow me for a flight to dallas,carry_on,comment mes bagages à ma porte me permettent-ils un vol pour Dallas,continuer
can you tell me jet blue airlines' carry on policy,carry_on,pouvez-vous me dire la politique de carry on de Jet Blue Airlines,continuer
what is the carry-on policy say for flights on delta airlines,carry_on,qu’est-ce que la politique de report dit pour les vols sur les compagnies aériennes delta,continuer
search for carry on rules for flights on delta airlines,carry_on,recherche de règles de portage pour les vols sur les compagnies aériennes delta,continuer
carry-on restrictions for air emirates,carry_on,restrictions de bagage à bord pour les émirats aériens,continuer
which rules does delta have for carry on,carry_on,quelles règles delta a-t-il pour continuer,continuer
tell me the carry-on restrictions for united airlines,carry_on,dites-moi les restrictions de bagage à l’unité pour les compagnies aériennes united,continuer
let me know the rules for carry ons for continental,carry_on,faites-moi savoir les règles pour les carry ons pour continental,continuer
volume to whisper voice,whisper_mode,volume à murmurer la voix,mode_chuchotement
i want whisper mode to be switched off,whisper_mode,Je veux que le mode chuchotement soit désactivé,mode_chuchotement
let's switch out of whisper mode,whisper_mode,sortons du mode chuchotement,mode_chuchotement
i want your setting adjusted to whisper voice now,whisper_mode,Je veux que votre réglage ajusté à la voix chuchote maintenant,mode_chuchotement
go into whisper mode now please,whisper_mode,passez en mode chuchotement maintenant s’il vous plaît,mode_chuchotement
turn up your volume,whisper_mode,augmenter votre volume,mode_chuchotement
exit out of whisper mode,whisper_mode,sortir du mode chuchotement,mode_chuchotement
go back to normal mode please,whisper_mode,revenir au mode normal s’il vous plaît,mode_chuchotement
immediately begin using whisper mode,whisper_mode,commencer immédiatement à utiliser le mode chuchotement,mode_chuchotement
switch over to whisper,whisper_mode,passez au murmure,mode_chuchotement
i think we should whisper,whisper_mode,Je pense que nous devrions chuchoter,mode_chuchotement
turn on the whisper voice,whisper_mode,allumez la voix chuchotée,mode_chuchotement
i'm going to need you to be quiet now please,whisper_mode,Je vais avoir besoin de vous pour être calme maintenant s’il vous plaît,mode_chuchotement
switch to quiet mode,whisper_mode,passer en mode silencieux,mode_chuchotement
please turn on whisper mode because i am about to be in class,whisper_mode,s’il vous plaît activer le mode chuchotement parce que je suis sur le point d’être en classe,mode_chuchotement
i want whisper mode,whisper_mode,Je veux le mode chuchoter,mode_chuchotement
"change to whisper mode, please",whisper_mode,"passer en mode chuchotement, s’il vous plaît",mode_chuchotement
go into whisper mode now,whisper_mode,passez en mode chuchotement maintenant,mode_chuchotement
turn your volume up,whisper_mode,augmenter votre volume,mode_chuchotement
"i can't hear you, stop whispering!",whisper_mode,"Je ne peux pas vous entendre, arrêtez de chuchoter!",mode_chuchotement
shh please speak with a whisper,whisper_mode,chut s’il vous plaît parler avec un murmure,mode_chuchotement
can you whisper until i tell you not to,whisper_mode,pouvez-vous chuchoter jusqu’à ce que je vous dise de ne pas,mode_chuchotement
i need you to switch to whisper mode,whisper_mode,J’ai besoin que vous passiez en mode chuchotement,mode_chuchotement
please turn on whisper mode,whisper_mode,s’il vous plaît activer le mode chuchotement,mode_chuchotement
can you go to the whisper voice,whisper_mode,pouvez-vous aller à la voix chuchotée,mode_chuchotement
i need your setting switched to whisper mode right away,whisper_mode,J’ai besoin de votre réglage basculé en mode chuchotement tout de suite,mode_chuchotement
stop using the whisper mode,whisper_mode,arrêter d’utiliser le mode chuchotement,mode_chuchotement
please talk quietly,whisper_mode,s’il vous plaît parler tranquillement,mode_chuchotement
use your quiet voice,whisper_mode,utilisez votre voix calme,mode_chuchotement
whisper from here on out please,whisper_mode,chuchoter à partir d’ici s’il vous plaît,mode_chuchotement
switch to whisper mode,whisper_mode,passer en mode chuchotement,mode_chuchotement
turn on your whisper mode,whisper_mode,activez votre mode chuchotement,mode_chuchotement
please shut off whisper mode for now,whisper_mode,s’il vous plaît désactiver le mode chuchotement pour l’instant,mode_chuchotement
can you please lower the volume please,whisper_mode,pouvez-vous s’il vous plaît abaisser le volume s’il vous plaît,mode_chuchotement
"switch to whisper mode, please",whisper_mode,"passer en mode chuchotement, s’il vous plaît",mode_chuchotement
i want to switch out of whisper mode,whisper_mode,Je veux sortir du mode chuchotement,mode_chuchotement
i want you to be in whisper mode now because i am in the library,whisper_mode,Je veux que vous soyez en mode chuchotement maintenant parce que je suis dans la bibliothèque,mode_chuchotement
change out of whisper mode,whisper_mode,changer de mode chuchotement,mode_chuchotement
whisper from now on,whisper_mode,chuchoter à partir de maintenant,mode_chuchotement
please speak with the whisper voice,whisper_mode,s’il vous plaît parler avec la voix chuchotée,mode_chuchotement
start using whisper mode,whisper_mode,commencer à utiliser le mode chuchotement,mode_chuchotement
please switch to whisper mode for now,whisper_mode,s’il vous plaît passer en mode chuchotement pour l’instant,mode_chuchotement
let's use whisper voice,whisper_mode,utilisons la voix chuchotée,mode_chuchotement
6 inch voices please,whisper_mode,Voix de 6 pouces s’il vous plaît,mode_chuchotement
talk in whisper voice,whisper_mode,parler à voix chuchotée,mode_chuchotement
i decide to switch out of whisper mode,whisper_mode,Je décide de sortir du mode chuchotement,mode_chuchotement
let's start whispering,whisper_mode,commençons à chuchoter,mode_chuchotement
can you switch to whisper mode,whisper_mode,pouvez-vous passer en mode chuchotement,mode_chuchotement
make sure to set yourself to whisper mode before i go to the movie,whisper_mode,assurez-vous de vous mettre en mode chuchotement avant d’aller au film,mode_chuchotement
i want you to use whisper voice now,whisper_mode,Je veux que vous utilisiez la voix chuchotée maintenant,mode_chuchotement
please send a text,text,s’il vous plaît envoyer un texte,SMS
write text message to someone,text,écrire un message texte à quelqu’un,SMS
send mom a text asking where are you,text,envoyer à maman un texte demandant où êtes-vous,SMS
text message chris and say i love you,text,message texte chris et dire que je t’aime,SMS
send a text to someone,text,envoyer un texto à quelqu’un,SMS
can you text arthur and tell them im almost there,text,pouvez-vous envoyer un sms à Arthur et leur dire im presque là,SMS
text billy and tell him to be at monday's meeting at 3pm,text,texto billy et lui dire d’être à la réunion de lundi à 15 heures,SMS
can you text christopher and tell them im on my way,text,pouvez-vous envoyer un sms à Christopher et leur dire im sur mon chemin,SMS
send a text message for me,text,envoyer un message texte pour moi,SMS
please send ann a text and tell her i will be home in 20 minutes,text,s’il vous plaît envoyer ann un texte et lui dire que je serai à la maison dans 20 minutes,SMS
please send a text message to natalie for me,text,s’il vous plaît envoyer un message texte à natalie pour moi,SMS
i want to send a text,text,Je veux envoyer un texte,SMS
text matt and tell him i will be late tonight,text,texte matt et lui dire que je serai en retard ce soir,SMS
text my boss for me and tell them i will be a little bit late,text,texto mon patron pour moi et leur dire que je serai un peu en retard,SMS
send chris a text message that says stop for milk on your way home,text,envoyez à Chris un message texte qui dit stop pour le lait sur le chemin du retour,SMS
i have to send a text,text,Je dois envoyer un texte,SMS
text my dad for me and tell them i love you,text,texto mon père pour moi et dites-leur que je t’aime,SMS
text josh and tell him i need a delivery,text,texte josh et lui dire que j’ai besoin d’une livraison,SMS
send a text and tell chris i’m not working today,text,envoyer un sms et dire à Chris que je ne travaille pas aujourd’hui,SMS
can you send a text for me,text,pouvez-vous m’envoyer un sms,SMS
text my friend for me and tell them to meet me later,text,envoyez un texto à mon ami pour moi et dites-lui de me rencontrer plus tard,SMS
text christopher and tell him i will stop by,text,texte christopher et lui dire que je vais m’arrêter par,SMS
can you text the sgt adam and tell them i found the missing girl,text,pouvez-vous envoyer un SMS au sergent adam et leur dire que j’ai trouvé la fille disparue,SMS
text a message to alice,text,envoyer un message texte à alice,SMS
i need you to text someone for me,text,J’ai besoin que vous envoyez un SMS à quelqu’un pour moi,SMS
i need sal to be texted and say i'll be there,text,J’ai besoin sal pour être texté et dire que je serai là,SMS
send a text message to chris and ask what he wants to eat for dinner,text,envoyer un message texte à chris et demander ce qu’il veut manger pour le dîner,SMS
send a text message,text,envoyer un message texte,SMS
text sal and tell them hi,text,texte sal et dites-leur bonjour,SMS
text sal and let them know the answer is yes,text,texte sal et laissez-leur savoir que la réponse est oui,SMS
compose text message,text,composer un message texte,SMS
text my doctor and tell him it happened again,text,envoyez un texto à mon médecin et dites-lui que c’est arrivé à nouveau,SMS
write a text to alice,text,écrire un texte à alice,SMS
can you send a text to someone,text,pouvez-vous envoyer un texte à quelqu’un,SMS
let sal know by text i will be attending,text,faites savoir par texto que j’assisterai à,SMS
start a new text to maureen and tell her i go mom's christmas present,text,commencer un nouveau texte à maureen et lui dire je vais cadeau de Noël de maman,SMS
create a new text,text,créer un nouveau texte,SMS
text bill and tell him i'll be 30 minutes late,text,texte facture et lui dire que je serai 30 minutes en retard,SMS
create a text message to,text,créer un message texte à,SMS
set up a new text message,text,configurer un nouveau message texte,SMS
give a text to my cousin linda that says happy birthday,text,donner un texte à ma cousine linda qui dit joyeux anniversaire,SMS
text my mom for me and tell them i will be home soon,text,envoyez un texto à ma mère pour moi et dites-leur que je serai bientôt à la maison,SMS
text tony and invite him to my party next saturday,text,texto tony et l’inviter à ma fête samedi prochain,SMS
text chris and ask what time he will be home,text,envoyez un texto à Chris et demandez à quelle heure il sera à la maison,SMS
text christy and ask her what she wants for dinner,text,texte christy et demandez-lui ce qu’elle veut pour le dîner,SMS
i have to have a text sent,text,Je dois avoir un texte envoyé,SMS
text nick and tell him the car's ready,text,texte nick et lui dire que la voiture est prête,SMS
i need to send a text,text,J’ai besoin d’envoyer un texte,SMS
text robby hello,text,texte robby bonjour,SMS
can you text elizabeth and tell them i forgot to bring drinks,text,pouvez-vous envoyer un sms à Elizabeth et leur dire que j’ai oublié d’apporter des boissons,SMS
i need a blackberry pie recipe,recipe,J’ai besoin d’une recette de tarte aux mûres,recette
find a recipe for german chocolate cake,recipe,trouver une recette pour le gâteau au chocolat allemand,recette
please find me a recipe for spaghetti now,recipe,s’il vous plaît me trouver une recette de spaghettis maintenant,recette
can you find me a recipe for sugar cookies,recipe,pouvez-vous me trouver une recette de biscuits au sucre,recette
i need a recipe on how to make beef stew,recipe,J’ai besoin d’une recette sur la façon de faire un ragoût de bœuf,recette
i need you to find me a recipe for fried shrimp,recipe,J’ai besoin que vous me trouviez une recette de crevettes frites,recette
what's the best way to make chicken stir fry,recipe,quelle est la meilleure façon de faire du sauté de poulet,recette
can you instruct me on how to make german chocolate cake,recipe,pouvez-vous m’indiquer comment faire un gâteau au chocolat allemand,recette
please help me with instructions on making chicken curry,recipe,s’il vous plaît aidez-moi avec des instructions sur la fabrication de curry de poulet,recette
how do i make the perfect omelette,recipe,comment puis-je faire l’omelette parfaite,recette
how do you make blackberry pie,recipe,comment faites-vous de la tarte aux mûres,recette
i need the best recipe for mashed potatoes,recipe,J’ai besoin de la meilleure recette pour la purée de pommes de terre,recette
can you find me a recipe for pie,recipe,pouvez-vous me trouver une recette de tarte,recette
search for a macaroni and cheese recipe,recipe,rechercher une recette de macaronis et de fromage,recette
i need to know how to make philly cheesesteaks,recipe,J’ai besoin de savoir comment faire philly cheesesteaks,recette
can you give me a recipe for german chocolate cake,recipe,pouvez-vous me donner une recette de gâteau au chocolat allemand,recette
what is a good chili recipe,recipe,qu’est-ce qu’une bonne recette de chili,recette
i need help finding a recipe for enchiladas,recipe,J’ai besoin d’aide pour trouver une recette pour enchiladas,recette
how do you create pork chili,recipe,comment créez-vous le piment de porc,recette
please give me instructions on making blueberry pie,recipe,s’il vous plaît donnez-moi des instructions sur la fabrication de tarte aux bleuets,recette
is there a good website to teach me how to make sushi,recipe,y a-t-il un bon site Web pour m’apprendre à faire des sushis,recette
how do i make pumpkin pie,recipe,comment puis-je faire de la tarte à la citrouille,recette
is there a recipe for chili i can use,recipe,y a-t-il une recette de chili que je peux utiliser,recette
can you find me a recipe for quiche,recipe,pouvez-vous me trouver une recette de quiche,recette
how do i make lassagna,recipe,comment puis-je faire des lassagnes,recette
what do i need to do to make blackberry pie,recipe,que dois-je faire pour faire de la tarte aux mûres,recette
can you get me a recipe for mashed potatoes,recipe,pouvez-vous m’obtenir une recette de purée de pommes de terre,recette
i need a recipe for chicken pot pie,recipe,J’ai besoin d’une recette pour la tarte au poulet,recette
what is needed you to cook apple pie,recipe,ce qu’il faut pour cuisiner la tarte aux pommes,recette
can you find me a recipe for honey ham,recipe,pouvez-vous me trouver une recette de jambon au miel,recette
where can i look to learn to make sushi,recipe,où puis-je chercher à apprendre à faire des sushis,recette
i am looking for a vegan friendly italian pasta recipe,recipe,Je suis à la recherche d’une recette de pâtes italiennes végétaliennes amicales,recette
what do you need to do to make sushi,recipe,que devez-vous faire pour faire des sushis,recette
how do i make beef stroganoff,recipe,comment puis-je faire du bœuf stroganoff,recette
i need a quick recipe for spiral ham,recipe,J’ai besoin d’une recette rapide pour le jambon en spirale,recette
can you search for the best new york style cheesecake recipes please,recipe,pouvez-vous rechercher les meilleures recettes de cheesecake de style new-yorkais s’il vous plaît,recette
can you find me a recipe for ribs,recipe,pouvez-vous me trouver une recette de côtes levées,recette
please show me a recipe for chili,recipe,s’il vous plaît montrez-moi une recette pour le chili,recette
how do you cook apple pie,recipe,comment cuisiner une tarte aux pommes,recette
can you find me a recipe for coffee cakes,recipe,pouvez-vous me trouver une recette de gâteaux au café,recette
tell me how to make chow mein,recipe,dites-moi comment faire chow mein,recette
find a good recipe for meatloaf,recipe,trouver une bonne recette pour le pain de viande,recette
how do i make lemon merengue pie,recipe,comment puis-je faire de la tarte au citron merengue,recette
how can i make chicken pot pie,recipe,comment puis-je faire de la tarte au poulet,recette
i need a recipe for beef,recipe,J’ai besoin d’une recette pour le bœuf,recette
can you find me a recipe for pasta,recipe,pouvez-vous me trouver une recette de pâtes,recette
can you find me a recipe for salsa,recipe,pouvez-vous me trouver une recette pour la salsa,recette
blackberry pie instructions,recipe,instructions de tarte aux mûres,recette
how do you cook meatloaf,recipe,comment faites-vous cuire le pain de viande,recette
look up easy to follow recipes for beef ribs,recipe,rechercher des recettes faciles à suivre pour les côtes de bœuf,recette
please turn my fan on,smart_home,s’il vous plaît allumez mon ventilateur,maison_intelligente
please turn the fan on,smart_home,s’il vous plaît allumer le ventilateur,maison_intelligente
can you get the fan going in here,smart_home,pouvez-vous faire entrer le ventilateur ici,maison_intelligente
lock all the doors,smart_home,verrouiller toutes les portes,maison_intelligente
what's the ac set to,smart_home,quel est le jeu ac sur,maison_intelligente
can you lock all the doors in the house,smart_home,pouvez-vous verrouiller toutes les portes de la maison,maison_intelligente
turn tv on please,smart_home,allumez la télévision s’il vous plaît,maison_intelligente
start my vehicle,smart_home,démarrer mon véhicule,maison_intelligente
remember to lock the doors,smart_home,n’oubliez pas de verrouiller les portes,maison_intelligente
what is the ac temperature,smart_home,quelle est la température c.a.,maison_intelligente
i need some air get the fan going,smart_home,J’ai besoin d’air faire avancer le ventilateur,maison_intelligente
turn the fan on,smart_home,allumez le ventilateur,maison_intelligente
please check the door to see who is there,smart_home,s’il vous plaît vérifier la porte pour voir qui est là,maison_intelligente
light the bedroom lights,smart_home,éclairer les lumières de la chambre,maison_intelligente
please set the temperature to 70,smart_home,veuillez régler la température à 70,maison_intelligente
put the garage lights on,smart_home,mettez les lumières du garage allumées,maison_intelligente
make sure all doors are locked,smart_home,assurez-vous que toutes les portes sont verrouillées,maison_intelligente
can you please dim the lights,smart_home,pouvez-vous s’il vous plaît atténuer les lumières,maison_intelligente
make the lights dimmer please,smart_home,faire grader les lumières s’il vous plaît,maison_intelligente
what temperature is the ac set at,smart_home,à quelle température la climatisation est-elle réglée,maison_intelligente
can you get my car started,smart_home,pouvez-vous faire démarrer ma voiture,maison_intelligente
set temperature to 75,smart_home,régler la température à 75,maison_intelligente
what is the temperature on the ac,smart_home,quelle est la température sur le courant alternatif,maison_intelligente
warm up my car for me,smart_home,réchauffer ma voiture pour moi,maison_intelligente
on the lounge lights turn,smart_home,"sur le salon, les lumières tournent",maison_intelligente
make sure the oven is set to 350 please,smart_home,assurez-vous que le four est réglé sur 350 s’il vous plaît,maison_intelligente
will you please get my furnace turned on,smart_home,voulez-vous s’il vous plaît obtenir ma fournaise allumée,maison_intelligente
can you turn on the lights in the den,smart_home,pouvez-vous allumer les lumières dans la sanière,maison_intelligente
who is at my front door,smart_home,qui est à ma porte d’entrée,maison_intelligente
tv on turn,smart_home,tv on turn,maison_intelligente
please start my car,smart_home,s’il vous plaît démarrer ma voiture,maison_intelligente
turn the tv to on right now,smart_home,allumez la télévision dès maintenant,maison_intelligente
turn the fan on please,smart_home,allumez le ventilateur s’il vous plaît,maison_intelligente
turn on the fan,smart_home,allumez le ventilateur,maison_intelligente
what's the persons name at my door,smart_home,quel est le nom des personnes à ma porte,maison_intelligente
please get my car started before i go out to it,smart_home,s’il vous plaît obtenir ma voiture a commencé avant que je vais à elle,maison_intelligente
who is knocking,smart_home,qui frappe,maison_intelligente
i need my furnace turned on,smart_home,J’ai besoin que ma fournaise soit allumée,maison_intelligente
please lock every door,smart_home,s’il vous plaît verrouiller chaque porte,maison_intelligente
can you look who is at the door,smart_home,pouvez-vous regarder qui est à la porte,maison_intelligente
set the temperature to 78,smart_home,régler la température à 78,maison_intelligente
can put fan on,smart_home,peut mettre le ventilateur sur,maison_intelligente
make the temperature 78 in here,smart_home,faire la température 78 ici,maison_intelligente
did anyone securely lock the door,smart_home,quelqu’un a-t-il verrouillé la porte en toute sécurité?,maison_intelligente
turn the fan to the on position,smart_home,tournez le ventilateur sur la position on,maison_intelligente
